x,y,z,S axis
228.1697764,1.880704987,0,228.2826744
228.9607958,2.045813967,0,229.0907416
229.7498192,2.220208725,0,229.8988081
230.5366775,2.404122062,0,230.7068738
231.3211927,2.597783269,0,231.5149386
232.1031776,2.801417836,0,232.3230026
232.8824357,3.015247157,0,233.1310658
233.6587607,3.239488215,0,233.9391281
234.431937,3.47435325,0,234.7471894
235.201739,3.72004942,0,235.5552499
235.9679311,3.976778438,0,236.3633094
236.7302677,4.244736206,0,237.1713678
237.4884932,4.524112419,0,237.9794254
238.2423415,4.815090172,0,238.7874819
238.9915363,5.117845534,0,239.5955373
239.7357909,5.432547123,0,240.4035918
240.4748081,5.759355659,0,241.2116452
241.2082803,6.098423503,0,242.0196974
241.9358894,6.449894182,0,242.8277486
242.6573068,6.813901905,0,243.6357985
243.3721937,7.190571059,0,244.4438473
244.0802007,7.580015698,0,245.251895
244.7809681,7.982339013,0,246.0599414
245.4741262,8.397632799,0,246.8679866
246.159295,8.825976904,0,247.6760305
246.8360849,9.267438668,0,248.4840733
247.5040962,9.722072354,0,249.2921147
248.1629199,10.18991857,0,250.1001547
248.8121377,10.67100369,0,250.9081935
249.4513222,11.16533925,0,251.7162309
250.0800372,11.67292133,0,252.5242669
250.6978384,12.19373001,0,253.3323015
251.3042731,12.72772869,0,254.1403347
251.8988812,13.27486352,0,254.9483665
252.4811953,13.83506279,0,255.7563968
253.0507413,14.4082363,0,256.5644255
253.6070389,14.99427477,0,257.3724528
254.1496021,15.59304919,0,258.1804786
254.6779398,16.2044103,0,258.9885028
255.1915564,16.82818793,0,259.7965254
255.6899527,17.46419042,0,260.6045465
256.1726261,18.11220411,0,261.4125659
256.639072,18.7719927,0,262.2205837
257.0887841,19.44329677,0,263.0285999
257.5212553,20.12583323,0,263.8366143
257.9359788,20.81929481,0,264.644627
258.3324491,21.52334961,0,265.4526381
258.7101624,22.23764062,0,266.2606473
259.0686184,22.96178529,0,267.0686549
259.4073205,23.69537516,0,267.8766606
259.7257779,24.4379755,0,268.6846646
260.0235057,25.18912497,0,269.4926666
260.300027,25.94833533,0,270.3006669
260.5548734,26.71509126,0,271.1086652
260.7875869,27.48885009,0,271.9166617
260.9977208,28.26904171,0,272.7246563
261.184841,29.05506849,0,273.5326489
261.3485279,29.84630519,0,274.3406396
261.4883772,30.64209906,0,275.1486282
261.6040017,31.44176989,0,275.9566149
261.6950329,32.24461017,0,276.7645996
261.7611223,33.04988533,0,277.5725822
261.8019429,33.85683404,0,278.3805627
261.817191,34.6646686,0,279.1885412
261.8065877,35.47257536,0,279.9965175
261.8065877,35.47257536,0,279.9965175
261.8065877,36.06553147,0,280.5894736
261.8065877,36.65848758,0,281.1824297
261.8065877,37.25144368,0,281.7753858
261.8065877,37.84439979,0,282.3683419
261.8065877,38.4373559,0,282.961298
261.8065877,39.03031201,0,283.5542541
261.8065877,39.62326811,0,284.1472102
261.8065877,40.21622422,0,284.7401664
261.8065877,40.80918033,0,285.3331225
261.8065877,41.40213644,0,285.9260786
261.8065877,41.99509255,0,286.5190347
261.8065877,42.58804865,0,287.1119908
261.8065877,43.18100476,0,287.7049469
261.8065877,43.77396087,0,288.297903
261.8065877,44.36691698,0,288.8908591
261.8065877,44.95987308,0,289.4838152
261.8065877,45.55282919,0,290.0767713
261.8065877,46.1457853,0,290.6697274
261.8065877,46.73874141,0,291.2626835
261.8065877,47.33169752,0,291.8556397
261.8065877,47.92465362,0,292.4485958
261.8065877,48.51760973,0,293.0415519
261.8065877,49.11056584,0,293.634508
261.8065877,49.70352195,0,294.2274641
261.8065877,50.29647805,0,294.8204202
261.8065877,50.88943416,0,295.4133763
261.8065877,51.48239027,0,296.0063324
261.8065877,52.07534638,0,296.5992885
261.8065877,52.66830248,0,297.1922446
261.8065877,53.26125859,0,297.7852007
261.8065877,53.8542147,0,298.3781568
261.8065877,54.44717081,0,298.9711129
261.8065877,55.04012692,0,299.5640691
261.8065877,55.63308302,0,300.1570252
261.8065877,56.22603913,0,300.7499813
261.8065877,56.81899524,0,301.3429374
261.8065877,57.41195135,0,301.9358935
261.8065877,58.00490745,0,302.5288496
261.8065877,58.59786356,0,303.1218057
261.8065877,59.19081967,0,303.7147618
261.8065877,59.78377578,0,304.3077179
261.8065877,60.37673189,0,304.900674
261.8065877,60.96968799,0,305.4936301
261.8065877,61.5626441,0,306.0865862
261.8065877,62.15560021,0,306.6795423
261.8065877,62.74855632,0,307.2724985
261.8065877,63.34151242,0,307.8654546
261.8065877,63.93446853,0,308.4584107
261.8065877,64.52742464,0,309.0513668
261.8065877,64.52742464,0,309.0513668
261.817191,65.3353314,0,309.8593431
261.8019429,66.14316596,0,310.6673216
261.7611223,66.95011467,0,311.4753021
261.6950329,67.75538983,0,312.2832847
261.6040017,68.55823011,0,313.0912694
261.4883772,69.35790094,0,313.899256
261.3485279,70.15369481,0,314.7072447
261.184841,70.94493151,0,315.5152354
260.9977208,71.73095829,0,316.323228
260.7875869,72.51114991,0,317.1312226
260.5548734,73.28490874,0,317.939219
260.300027,74.05166467,0,318.7472174
260.0235057,74.81087503,0,319.5552176
259.7257779,75.5620245,0,320.3632197
259.4073205,76.30462484,0,321.1712237
259.0686184,77.03821471,0,321.9792294
258.7101624,77.76235938,0,322.7872369
258.3324491,78.47665039,0,323.5952462
257.9359788,79.18070519,0,324.4032572
257.5212553,79.87416677,0,325.21127
257.0887841,80.55670323,0,326.0192844
256.639072,81.2280073,0,326.8273006
256.1726261,81.88779589,0,327.6353184
255.6899527,82.53580958,0,328.4433378
255.1915564,83.17181207,0,329.2513588
254.6779398,83.7955897,0,330.0593815
254.1496021,84.40695081,0,330.8674057
253.6070389,85.00572523,0,331.6754314
253.0507413,85.5917637,0,332.4834587
252.4811953,86.16493721,0,333.2914875
251.8988812,86.72513648,0,334.0995178
251.3042731,87.27227131,0,334.9075495
250.6978384,87.80626999,0,335.7155827
250.0800372,88.32707867,0,336.5236174
249.4513222,88.83466075,0,337.3316534
248.8121377,89.32899631,0,338.1396908
248.1629199,89.81008143,0,338.9477295
247.5040962,90.27792765,0,339.7557696
246.8360849,90.73256133,0,340.563811
246.159295,91.1740231,0,341.3718537
245.4741262,91.6023672,0,342.1798976
244.7809681,92.01766099,0,342.9879429
244.0802007,92.4199843,0,343.7959893
243.3721937,92.80942894,0,344.6040369
242.6573068,93.18609809,0,345.4120858
241.9358894,93.55010582,0,346.2201357
241.2082803,93.9015765,0,347.0281868
240.4748081,94.24064434,0,347.8362391
239.7357909,94.56745288,0,348.6442925
238.9915363,94.88215447,0,349.4523469
238.2423415,95.18490983,0,350.2604024
237.4884932,95.47588758,0,351.0684589
236.7302677,95.75526379,0,351.8765164
235.9679311,96.02322156,0,352.6845749
235.201739,96.27995058,0,353.4926344
234.431937,96.52564675,0,354.3006949
233.6587607,96.76051178,0,355.1087562
232.8824357,96.98475284,0,355.9168184
232.1031776,97.19858216,0,356.7248817
231.3211927,97.40221673,0,357.5329457
230.5366775,97.59587794,0,358.3410105
229.7498192,97.77979128,0,359.1490761
228.9607958,97.95418603,0,359.9571426
228.1697764,98.11929501,0,360.7652099
227.3769212,98.27535426,0,361.5732778
226.5823818,98.42260278,0,362.3813465
225.7863012,98.56128236,0,363.189416
224.9888146,98.69163725,0,363.9974861
224.1900488,98.813914,0,364.8055569
223.390123,98.92836126,0,365.6136284
222.5891489,99.03522955,0,366.4217004
221.7872306,99.13477111,0,367.2297731
220.9844654,99.22723971,0,368.0378463
220.1809436,99.31289049,0,368.8459202
219.376749,99.39197986,0,369.6539945
218.5719588,99.46476529,0,370.4620693
217.7666442,99.53150525,0,371.2701447
216.9608706,99.59245904,0,372.0782205
216.1546975,99.64788674,0,372.8862968
215.3481792,99.69804905,0,373.6943735
214.5413649,99.74320725,0,374.5024506
213.7342987,99.78362312,0,375.3105282
212.9270203,99.81955881,0,376.118606
212.1195648,99.85127687,0,376.9266842
211.3119633,99.87904008,0,377.7347628
210.5042431,99.90311152,0,378.5428416
209.6964276,99.92375441,0,379.3509208
208.8885373,99.94123216,0,380.1590001
208.0805891,99.9558083,0,380.9670798
207.2725975,99.96774644,0,381.7751596
206.4645741,99.97731027,0,382.5832396
205.6565282,99.98476353,0,383.3913199
204.8484673,99.99037,0,384.1994002
204.0403969,99.99439349,0,385.0074806
203.2323208,99.9970978,0,385.8155613
202.4242418,99.99874678,0,386.6236419
201.6161615,99.99960425,0,387.4317227
200.8080808,99.99993404,0,388.2398035
200,100,0,389.0478843
200,100,0,389.0478843
198.9949749,100,0,390.0529094
197.9899497,100,0,391.0579346
196.9849246,100,0,392.0629597
195.9798995,100,0,393.0679848
194.9748744,100,0,394.0730099
193.9698492,100,0,395.0780351
192.9648241,100,0,396.0830602
191.959799,100,0,397.0880853
190.9547739,100,0,398.0931104
189.9497487,100,0,399.0981356
188.9447236,100,0,400.1031607
187.9396985,100,0,401.1081858
186.9346734,100,0,402.1132109
185.9296482,100,0,403.1182361
184.9246231,100,0,404.1232612
183.919598,100,0,405.1282863
182.9145729,100,0,406.1333114
181.9095477,100,0,407.1383366
180.9045226,100,0,408.1433617
179.8994975,100,0,409.1483868
178.8944724,100,0,410.1534119
177.8894472,100,0,411.1584371
176.8844221,100,0,412.1634622
175.879397,100,0,413.1684873
174.8743719,100,0,414.1735124
173.8693467,100,0,415.1785376
172.8643216,100,0,416.1835627
171.8592965,100,0,417.1885878
170.8542714,100,0,418.1936129
169.8492462,100,0,419.1986381
168.8442211,100,0,420.2036632
167.839196,100,0,421.2086883
166.8341709,100,0,422.2137134
165.8291457,100,0,423.2187386
164.8241206,100,0,424.2237637
163.8190955,100,0,425.2287888
162.8140704,100,0,426.2338139
161.8090452,100,0,427.2388391
160.8040201,100,0,428.2438642
159.798995,100,0,429.2488893
158.7939698,100,0,430.2539145
157.7889447,100,0,431.2589396
156.7839196,100,0,432.2639647
155.7788945,100,0,433.2689898
154.7738693,100,0,434.274015
153.7688442,100,0,435.2790401
152.7638191,100,0,436.2840652
151.758794,100,0,437.2890903
150.7537688,100,0,438.2941155
149.7487437,100,0,439.2991406
148.7437186,100,0,440.3041657
147.7386935,100,0,441.3091908
146.7336683,100,0,442.314216
145.7286432,100,0,443.3192411
144.7236181,100,0,444.3242662
143.718593,100,0,445.3292913
142.7135678,100,0,446.3343165
141.7085427,100,0,447.3393416
140.7035176,100,0,448.3443667
139.6984925,100,0,449.3493918
138.6934673,100,0,450.354417
137.6884422,100,0,451.3594421
136.6834171,100,0,452.3644672
135.678392,100,0,453.3694923
134.6733668,100,0,454.3745175
133.6683417,100,0,455.3795426
132.6633166,100,0,456.3845677
131.6582915,100,0,457.3895928
130.6532663,100,0,458.394618
129.6482412,100,0,459.3996431
128.6432161,100,0,460.4046682
127.638191,100,0,461.4096933
126.6331658,100,0,462.4147185
125.6281407,100,0,463.4197436
124.6231156,100,0,464.4247687
123.6180905,100,0,465.4297938
122.6130653,100,0,466.434819
121.6080402,100,0,467.4398441
120.6030151,100,0,468.4448692
119.5979899,100,0,469.4498944
118.5929648,100,0,470.4549195
117.5879397,100,0,471.4599446
116.5829146,100,0,472.4649697
115.5778894,100,0,473.4699949
114.5728643,100,0,474.47502
113.5678392,100,0,475.4800451
112.5628141,100,0,476.4850702
111.5577889,100,0,477.4900954
110.5527638,100,0,478.4951205
109.5477387,100,0,479.5001456
108.5427136,100,0,480.5051707
107.5376884,100,0,481.5101959
106.5326633,100,0,482.515221
105.5276382,100,0,483.5202461
104.5226131,100,0,484.5252712
103.5175879,100,0,485.5302964
102.5125628,100,0,486.5353215
101.5075377,100,0,487.5403466
100.5025126,100,0,488.5453717
99.49748744,100,0,489.5503968
98.49246231,100,0,490.555422
97.48743719,100,0,491.5604471
96.48241206,100,0,492.5654722
95.47738693,100,0,493.5704973
94.47236181,100,0,494.5755225
93.46733668,100,0,495.5805476
92.46231156,100,0,496.5855727
91.45728643,100,0,497.5905978
90.45226131,100,0,498.595623
89.44723618,100,0,499.6006481
88.44221106,100,0,500.6056732
87.43718593,100,0,501.6106983
86.4321608,100,0,502.6157235
85.42713568,100,0,503.6207486
84.42211055,100,0,504.6257737
83.41708543,100,0,505.6307988
82.4120603,100,0,506.635824
81.40703518,100,0,507.6408491
80.40201005,100,0,508.6458742
79.39698492,100,0,509.6508994
78.3919598,100,0,510.6559245
77.38693467,100,0,511.6609496
76.38190955,100,0,512.6659747
75.37688442,100,0,513.6709999
74.3718593,100,0,514.676025
73.36683417,100,0,515.6810501
72.36180905,100,0,516.6860752
71.35678392,100,0,517.6911004
70.35175879,100,0,518.6961255
69.34673367,100,0,519.7011506
68.34170854,100,0,520.7061757
67.33668342,100,0,521.7112009
66.33165829,100,0,522.716226
65.32663317,100,0,523.7212511
64.32160804,100,0,524.7262762
63.31658291,100,0,525.7313014
62.31155779,100,0,526.7363265
61.30653266,100,0,527.7413516
60.30150754,100,0,528.7463767
59.29648241,100,0,529.7514019
58.29145729,100,0,530.756427
57.28643216,100,0,531.7614521
56.28140704,100,0,532.7664772
55.27638191,100,0,533.7715024
54.27135678,100,0,534.7765275
53.26633166,100,0,535.7815526
52.26130653,100,0,536.7865777
51.25628141,100,0,537.7916029
50.25125628,100,0,538.796628
49.24623116,100,0,539.8016531
48.24120603,100,0,540.8066782
47.2361809,100,0,541.8117034
46.23115578,100,0,542.8167285
45.22613065,100,0,543.8217536
44.22110553,100,0,544.8267787
43.2160804,100,0,545.8318039
42.21105528,100,0,546.836829
41.20603015,100,0,547.8418541
40.20100503,100,0,548.8468792
39.1959799,100,0,549.8519044
38.19095477,100,0,550.8569295
37.18592965,100,0,551.8619546
36.18090452,100,0,552.8669798
35.1758794,100,0,553.8720049
34.17085427,100,0,554.87703
33.16582915,100,0,555.8820551
32.16080402,100,0,556.8870803
31.15577889,100,0,557.8921054
30.15075377,100,0,558.8971305
29.14572864,100,0,559.9021556
28.14070352,100,0,560.9071808
27.13567839,100,0,561.9122059
26.13065327,100,0,562.917231
25.12562814,100,0,563.9222561
24.12060302,100,0,564.9272813
23.11557789,100,0,565.9323064
22.11055276,100,0,566.9373315
21.10552764,100,0,567.9423566
20.10050251,100,0,568.9473818
19.09547739,100,0,569.9524069
18.09045226,100,0,570.957432
17.08542714,100,0,571.9624571
16.08040201,100,0,572.9674823
15.07537688,100,0,573.9725074
14.07035176,100,0,574.9775325
13.06532663,100,0,575.9825576
12.06030151,100,0,576.9875828
11.05527638,100,0,577.9926079
10.05025126,100,0,578.997633
9.045226131,100,0,580.0026581
8.040201005,100,0,581.0076833
7.035175879,100,0,582.0127084
6.030150754,100,0,583.0177335
5.025125628,100,0,584.0227586
4.020100503,100,0,585.0277838
3.015075377,100,0,586.0328089
2.010050251,100,0,587.037834
1.005025126,100,0,588.0428591
0,100,0,589.0478843
0,100,0,589.0478843
-0.8080808027,99.99993404,0,589.8559651
-1.616161519,99.99960425,0,590.6640459
-2.424241805,99.99874678,0,591.4721266
-3.232320799,99.9970978,0,592.2802073
-4.040396864,99.99439349,0,593.0882879
-4.848467329,99.99037,0,593.8963684
-5.656528233,99.98476353,0,594.7044487
-6.464574063,99.97731027,0,595.5125289
-7.272597496,99.96774644,0,596.3206089
-8.080589143,99.9558083,0,597.1286888
-8.888537292,99.94123216,0,597.9367684
-9.696427642,99.92375441,0,598.7448478
-10.50424306,99.90311152,0,599.5529269
-11.3119633,99.87904008,0,600.3610058
-12.11956477,99.85127687,0,601.1690843
-12.92702026,99.81955881,0,601.9771625
-13.7342987,99.78362312,0,602.7852404
-14.54136489,99.74320725,0,603.5933179
-15.34817922,99.69804905,0,604.401395
-16.15469749,99.64788674,0,605.2094717
-16.96087058,99.59245904,0,606.017548
-17.76664424,99.53150525,0,606.8256239
-18.57195881,99.46476529,0,607.6336992
