x,y,z,S axis
256.3065877,55.63308302,0,291.5187307
256.3065877,56.22603913,0,292.1116868
256.3065877,56.81899524,0,292.7046429
256.3065877,57.41195135,0,293.297599
256.3065877,58.00490745,0,293.8905551
256.3065877,58.59786356,0,294.4835112
256.3065877,59.19081967,0,295.0764673
256.3065877,59.78377578,0,295.6694234
256.3065877,60.37673189,0,296.2623796
256.3065877,60.96968799,0,296.8553357
256.3065877,61.5626441,0,297.4482918
256.3065877,62.15560021,0,298.0412479
256.3065877,62.74855632,0,298.634204
256.3065877,63.34151242,0,299.2271601
256.3065877,63.93446853,0,299.8201162
256.3065877,64.52742464,0,300.4130723
256.3070614,64.59960282,0,300.485252
256.3172138,65.31952053,0,301.2052413
256.3052554,65.95230922,0,301.838143
256.2731751,66.58619724,0,302.4728423
256.2210986,67.22056013,0,303.1093391
256.1491717,67.85478901,0,303.7476335
256.0575596,68.48829115,0,304.3877255
255.946446,69.12049039,0,305.029615
255.8160315,69.75082762,0,305.673302
255.666533,70.3787611,0,306.3187865
255.4981828,71.00376683,0,306.9660685
255.311227,71.62533877,0,307.6151479
255.1059253,72.24298908,0,308.2660248
254.8825492,72.85624831,0,308.9186991
254.6413816,73.46466549,0,309.5731709
254.3827159,74.06780827,0,310.22944
254.1068546,74.66526291,0,310.8875065
253.8141087,75.25663433,0,311.5473704
253.5047969,75.84154608,0,312.2090316
253.1792446,76.41964027,0,312.8724901
252.837783,76.99057745,0,313.5377459
252.4807484,77.55403654,0,314.204799
252.1084814,78.10971464,0,314.8736494
251.7213263,78.65732687,0,315.544297
251.31963,79.19660615,0,316.2167418
250.9037415,79.72730297,0,316.8909839
250.4740112,80.24918518,0,317.5670232
250.0307906,80.76203768,0,318.2448596
249.5744308,81.26566215,0,318.9244933
249.1052828,81.75987675,0,319.6059241
248.6236966,82.24451582,0,320.2891519
248.1300203,82.71942953,0,320.974177
247.6246004,83.18448354,0,321.660999
247.1077803,83.63955867,0,322.3496182
246.5799008,84.08455052,0,323.0400344
246.041299,84.51936913,0,323.7322476
245.4923081,84.94393858,0,324.4262578
244.9332571,85.35819665,0,325.1220651
244.3644704,85.76209439,0,325.8196694
243.7862675,86.15559578,0,326.5190705
243.1989623,86.53867735,0,327.2202687
242.6028636,86.91132776,0,327.9232637
241.998274,87.27354744,0,328.6280556
241.3854901,87.62534822,0,329.3346445
240.7648025,87.96675291,0,330.0430302
240.1364949,88.29779498,0,330.7532128
239.5008446,88.61851813,0,331.4651922
238.858122,88.92897596,0,332.1789683
238.2085904,89.22923161,0,332.8945414
237.5525063,89.51935736,0,333.6119111
236.8901187,89.79943434,0,334.3310776
236.2216695,90.06955213,0,335.0520408
235.5473931,90.32980846,0,335.7748008
234.8675167,90.58030885,0,336.4993574
234.18226,90.82116632,0,337.2257107
233.491835,91.05250106,0,337.9538607
232.7964466,91.27444013,0,338.6838073
232.0962918,91.48711715,0,339.4155506
231.3915606,91.69067204,0,340.1490904
230.6824353,91.88525071,0,340.8844267
229.9690907,92.07100484,0,341.6215598
229.2516947,92.24809156,0,342.3604892
228.5304075,92.41667324,0,343.1012152
227.8053823,92.57691726,0,343.8437377
227.0767651,92.72899573,0,344.5880568
226.3446951,92.87308535,0,345.3341723
