X,Y,Z,dX,dY,dZ,Tangent
0.0522867,0.0522867,0,0.526597,0.526597,0,0.74472
0.057572,0.057572,0,0.530442,0.530442,0,0.750158
0.0628952,0.0628952,0,0.534168,0.534168,0,0.755428
0.068255,0.068255,0,0.537777,0.537777,0,0.760532
0.0736503,0.0736503,0,0.541268,0.541268,0,0.765468
0.07908,0.07908,0,0.54464,0.54464,0,0.770238
0.0845427,0.0845427,0,0.547895,0.547895,0,0.77484
0.0900375,0.0900375,0,0.551031,0.551031,0,0.779276
0.095563,0.095563,0,0.55405,0.55405,0,0.783544
0.101118,0.101118,0,0.55695,0.55695,0,0.787646
0.106702,0.106702,0,0.559732,0.559732,0,0.791581
0.112312,0.112312,0,0.562396,0.562396,0,0.795348
0.117949,0.117949,0,0.564942,0.564942,0,0.798949
0.123611,0.123611,0,0.56737,0.56737,0,0.802382
0.129296,0.129296,0,0.56968,0.56968,0,0.805649
0.135004,0.135004,0,0.571872,0.571872,0,0.808749
0.140733,0.140733,0,0.573945,0.573945,0,0.811681
0.146482,0.146482,0,0.575901,0.575901,0,0.814447
0.152251,0.152251,0,0.577739,0.577739,0,0.817046
0.158037,0.158037,0,0.579458,0.579458,0,0.819477
0.16384,0.16384,0,0.581059,0.581059,0,0.821742
0.169658,0.169658,0,0.582543,0.582543,0,0.82384
0.17549,0.17549,0,0.583908,0.583908,0,0.82577
0.181335,0.181335,0,0.585155,0.585155,0,0.827534
0.187193,0.187193,0,0.586284,0.586284,0,0.829131
0.193061,0.193061,0,0.587295,0.587295,0,0.83056
0.198938,0.198938,0,0.588188,0.588188,0,0.831823
0.204824,0.204824,0,0.588963,0.588963,0,0.832919
0.210717,0.210717,0,0.589619,0.589619,0,0.833848
0.216616,0.216616,0,0.590158,0.590158,0,0.834609
0.22252,0.22252,0,0.590579,0.590579,0,0.835204
0.228427,0.228427,0,0.590881,0.590881,0,0.835632
0.234337,0.234337,0,0.591065,0.591065,0,0.835893
0.240248,0.240248,0,0.591132,0.591132,0,0.835987
0.240248,0.240248,0,0.591132,0.591132,0,0.835987
0.246159,0.246159,0,0.591109,0.591109,0,0.835955
0.25207,0.25207,0,0.591028,0.591028,0,0.83584
0.25798,0.25798,0,0.590887,0.590887,0,0.835641
0.263888,0.263888,0,0.590687,0.590687,0,0.835358
0.269793,0.269793,0,0.590428,0.590428,0,0.834991
0.275696,0.275696,0,0.590109,0.590109,0,0.834541
0.281595,0.281595,0,0.589732,0.589732,0,0.834007
0.28749,0.28749,0,0.589295,0.589295,0,0.833389
0.293381,0.293381,0,0.588799,0.588799,0,0.832687
0.299266,0.299266,0,0.588243,0.588243,0,0.831902
0.305146,0.305146,0,0.587629,0.587629,0,0.831033
0.311019,0.311019,0,0.586955,0.586955,0,0.83008
0.316885,0.316885,0,0.586222,0.586222,0,0.829043
0.322743,0.322743,0,0.58543,0.58543,0,0.827923
0.328593,0.328593,0,0.584578,0.584578,0,0.826719
0.334434,0.334434,0,0.583668,0.583668,0,0.825431
0.340266,0.340266,0,0.582698,0.582698,0,0.824059
0.346088,0.346088,0,0.581669,0.581669,0,0.822604
0.351899,0.351899,0,0.58058,0.58058,0,0.821065
0.357699,0.357699,0,0.579433,0.579433,0,0.819442
0.363488,0.363488,0,0.578226,0.578226,0,0.817735
0.369264,0.369264,0,0.57696,0.57696,0,0.815945
0.375027,0.375027,0,0.575635,0.575635,0,0.814071
0.380776,0.380776,0,0.57425,0.57425,0,0.812113
0.386512,0.386512,0,0.572807,0.572807,0,0.810071
0.392232,0.392232,0,0.571304,0.571304,0,0.807946
0.397937,0.397937,0,0.569742,0.569742,0,0.805736
0.403627,0.403627,0,0.56812,0.56812,0,0.803443
0.4093,0.4093,0,0.56644,0.56644,0,0.801067
0.414955,0.414955,0,0.5647,0.5647,0,0.798606
0.420593,0.420593,0,0.562901,0.562901,0,0.796062
0.426213,0.426213,0,0.561043,0.561043,0,0.793434
0.431814,0.431814,0,0.559125,0.559125,0,0.790723
0.437396,0.437396,0,0.557149,0.557149,0,0.787927
0.442957,0.442957,0,0.555113,0.555113,0,0.785048
0.448498,0.448498,0,0.553018,0.553018,0,0.782085
0.454017,0.454017,0,0.550863,0.550863,0,0.779038
0.459515,0.459515,0,0.54865,0.54865,0,0.775908
0.46499,0.46499,0,0.546377,0.546377,0,0.772694
0.470442,0.470442,0,0.544045,0.544045,0,0.769396
0.475871,0.475871,0,0.541654,0.541654,0,0.766014
0.481275,0.481275,0,0.539203,0.539203,0,0.762549
0.486654,0.486654,0,0.536694,0.536694,0,0.758999
0.492009,0.492009,0,0.534125,0.534125,0,0.755366
0.497337,0.497337,0,0.531497,0.531497,0,0.75165
0.502638,0.502638,0,0.528809,0.528809,0,0.747849
0.507913,0.507913,0,0.526063,0.526063,0,0.743965
0.513159,0.513159,0,0.523257,0.523257,0,0.739997
0.518378,0.518378,0,0.520392,0.520392,0,0.735945
0.523567,0.523567,0,0.517468,0.517468,0,0.73181
0.528727,0.528727,0,0.514484,0.514484,0,0.727591
0.533856,0.533856,0,0.511442,0.511442,0,0.723288
0.538955,0.538955,0,0.50834,0.50834,0,0.718901
0.544023,0.544023,0,0.505179,0.505179,0,0.71443
0.549059,0.549059,0,0.501958,0.501958,0,0.709876
0.554062,0.554062,0,0.498679,0.498679,0,0.705238
0.559032,0.559032,0,0.49534,0.49534,0,0.700516
0.563969,0.563969,0,0.491942,0.491942,0,0.695711
0.568871,0.568871,0,0.488485,0.488485,0,0.690822
0.573738,0.573738,0,0.484968,0.484968,0,0.685849
0.57857,0.57857,0,0.481392,0.481392,0,0.680792
0.583366,0.583366,0,0.477758,0.477758,0,0.675651
0.588125,0.588125,0,0.474063,0.474063,0,0.670427
0.592847,0.592847,0,0.47031,0.47031,0,0.665119
0.597531,0.597531,0,0.466498,0.466498,0,0.659727
0.602177,0.602177,0,0.462626,0.462626,0,0.654252
0.606783,0.606783,0,0.458695,0.458695,0,0.648692
0.61135,0.61135,0,0.454705,0.454705,0,0.643049
0.615877,0.615877,0,0.450655,0.450655,0,0.637323
0.620363,0.620363,0,0.446546,0.446546,0,0.631512
0.624808,0.624808,0,0.442378,0.442378,0,0.625618
0.629211,0.629211,0,0.438151,0.438151,0,0.61964
0.633571,0.633571,0,0.433865,0.433865,0,0.613578
0.637888,0.637888,0,0.429519,0.429519,0,0.607432
0.642161,0.642161,0,0.425115,0.425115,0,0.601203
0.64639,0.64639,0,0.420651,0.420651,0,0.59489
0.650574,0.650574,0,0.416127,0.416127,0,0.588493
0.654712,0.654712,0,0.411545,0.411545,0,0.582013
0.658804,0.658804,0,0.406903,0.406903,0,0.575448
0.66285,0.66285,0,0.402202,0.402202,0,0.5688
0.666848,0.666848,0,0.397442,0.397442,0,0.562068
0.670799,0.670799,0,0.392623,0.392623,0,0.555253
0.674701,0.674701,0,0.387744,0.387744,0,0.548353
0.678553,0.678553,0,0.382807,0.382807,0,0.54137
0.682356,0.682356,0,0.37781,0.37781,0,0.534303
