x,y,z,s
47.8345542358154,921.111206957317,0,0
47.169176316249,922.525700235405,0,0
47.1934712347367,922.475271907798,0,0
46.4969077277427,923.887593068162,0,0
45.7862051295336,925.259859781399,0,0
45.0491239182295,926.617314306788,0,0
44.2656792575752,927.99434670024,0,0
43.4551306010963,929.354756653751,0,0
42.6014034972746,930.724091426501,0,0
42.6308265831463,930.677835358576,0,0
41.9513182833157,931.725024481657,0,0
41.2684006163937,932.740741228454,0,0
40.5690635109625,933.745223343821,0,0
39.8538449884135,934.737723824257,0,0
39.1037461361951,935.743320728634,0,0
38.3373668875402,936.735811331553,0,0
37.5545664642354,937.715402084931,0,0
36.7395649204596,938.701007183312,0,0
36.7666972694669,938.668656114406,0,0
36.1015263392339,939.450685557946,0,0
35.4398303255027,940.202842599537,0,0
34.7657566510461,940.943927125934,0,0
34.0794904779171,941.673735442902,0,0
33.3811277573652,942.392160852642,0,0
32.6749285309236,943.095014488438,0,0
31.9571416047869,943.78621974259,0,0
31.2280546153355,944.465495098954,0,0
30.4878658662027,945.132655873366,0,0
29.7180658771381,945.803698936542,0,0
29.7787446711562,945.752194614042,0,0
28.998661770897,946.396877546369,0,0
28.2279968649329,947.010965615063,0,0
27.4465665391197,947.611294949139,0,0
26.6546164648761,948.197676976765,0,0
25.8521555802951,948.770095248854,0,0
25.0491588446374,949.3217972465,0,0
24.236369942604,949.859499615588,0,0
23.4142785991261,950.382869134001,0,0
22.5831376686389,950.891744898211,0,0
21.7204772376898,951.399208443925,0,0
21.7234693056814,951.397450212712,0,0
21.2789241306476,951.658453824201,0,0
20.8518238822244,951.899612734944,0,0
20.4207604675829,952.13361392466,0,0
19.9858538325109,952.360392329774,0,0
19.547225110458,952.579884735349,0,0
19.1049960832026,952.792030200451,0,0
18.6592898760206,952.996769712804,0,0
18.210230615313,953.1940462249,0,0
17.7581683360938,953.383712625268,0,0
17.2981109774936,953.567726902752,0,0
16.8352463293955,953.743878151529,0,0
16.3694807628138,953.912208542275,0,0
15.9009456913937,954.072670506362,0,0
15.4297746289984,954.225218573989,0,0
14.9561013767032,954.369809122892,0,0
14.4800597942372,954.506401499828,0,0
13.9773592066774,954.641412064604,0,0
14.0447773632765,954.624126747506,0,0
13.7230433889743,954.702775407694,0,0
13.4262780714076,954.769564909479,0,0
13.1283575194023,954.830998312711,0,0
12.8293787764809,954.887055567333,0,0
12.5294389163119,954.937718497108,0,0
12.2286349579093,954.982970668363,0,0
11.9270650922209,955.022797406906,0,0
11.6248265445365,955.057185692915,0,0
11.3220176471522,955.086124573562,0,0
11.018736904838,955.109604398629,0,0
10.7131649912243,955.127714792697,0,0
10.4327490573307,955.13944856512,0,0
10.1502581519437,955.146553482285,0,0
9.86768778023485,955.148930503068,0,0
9.58511670946841,955.14657903352,0,0
9.30262458818264,955.139499749938,0,0
9.02029059482629,955.127694606312,0,0
8.73819385190835,955.111166926218,0,0
8.45641295786205,955.089921264463,0,0
8.1750273020151,955.063963703498,0,0
7.89411524733678,955.033301316863,0,0
7.58886558980478,954.994697972659,0,0
7.53093540896981,954.987963294697,0,0
7.09375318771853,954.941550513701,0,0
6.68282516181387,954.890721482412,0,0
6.2728233104732,954.832892548831,0,0
5.86386739499201,954.76808080815,0,0
5.45607619874947,954.696304817761,0,0
5.0495681297823,954.61758566765,0,0
4.64446149002593,954.531946044886,0,0
4.24081305783594,954.439396532798,0,0
3.83990517104014,954.340259181713,0,0
3.44068090926454,954.234301123546,0,0
3.04331709522633,954.121567492372,0,0
2.64792840166749,954.002090876641,0,0
2.25462887230919,953.875905681444,0,0
1.86353276088731,953.743048729553,0,0
1.47475359965408,953.603558406454,0,0
1.06457437308526,953.448348914733,0,0
1.12861899346053,953.473407664401,0,0
0.455320968575145,953.201144837261,0,0
-0.189586422843751,952.927332936853,0,0
-0.82972026597774,952.642539831592,0,0
-1.46489349295698,952.346848579339,0,0
-2.09426293683128,952.040672685105,0,0
